Bags of Bags,HD,Sarah & Duck_20141209_1710.ts
31/40. Balloon Race,HD,Sarah & Duck_20141210_1711.ts
23/40. Bobsleigh,HD,Sarah & Duck_20141211_1710.ts
34/40. Moon Paint,HD,Sarah & Duck_20141212_1710.ts
1/40. Lots of Shallots,HD,Sarah & Duck_20150103_1736.ts
4/40. Cake Bake,HD,Sarah & Duck_20150104_1725.ts
Ribbon Fall,HD,Sarah & Duck_20150106_1710.ts
6/40. Robot Juice,HD,Sarah & Duck_20150107_1711.ts
9/40. Sit Shop,HD,Sarah & Duck_20150108_1710.ts
10/40. Kite Flight,HD,Sarah & Duck_20150109_1711.ts
11/40. Umbrella and the Rain,HD,Sarah & Duck_20150110_1736.ts
12/40. Big Shop,HD,Sarah & Duck_20150111_1724.ts
Garden Gaming,HD,Sarah & Duck_20150113_1710.ts
13/40. Woollen Music,HD,Sarah & Duck_20150114_1711.ts
14/40. Doubles,HD,Sarah & Duck_20150115_1710.ts
15/40. Fairground,HD,Sarah & Duck_20150116_1710.ts
16/40. Sarah Gets a Cold,HD,Sarah & Duck_20150121_1711.ts
17/40. Ribbon Sisters,HD,Sarah & Duck_20150122_1709.ts
18/40. Stargazing,HD,Sarah & Duck_20150123_1711.ts
32/40. Puncture Pump,HD,Sarah & Duck_20150124_1750.ts
33/40. Plate Fog,HD,Sarah & Duck_20150125_1722.ts
35/40. The Play,HD,Sarah & Duck_20150131_1751.ts
36/40. Bread Bike,HD,Sarah & Duck_20150201_1723.ts
39/40. Octagon Club,HD,Sarah & Duck_20150207_1752.ts
38/40. No More Wool,HD,Sarah & Duck_20150208_1723.ts
Origami Overload,HD,Sarah & Duck_20150212_1710.ts
Shallot Circus,HD,Sarah & Duck_20150213_1710.ts
37/40. Bug's Button Bank,HD,Sarah & Duck_20150214_1752.ts
27/40. Slow Quest,HD,Sarah & Duck_20150215_1725.ts
Toy Tidy,HD,Sarah & Duck_20150217_1711.ts
Sarah, Duck and the Penguins,SD,Sarah & Duck_and the penguins_20130924_1711.ts
Bobsleigh,SD,Sarah & Duck_bobsleigh_20131023_1711.ts
Bouncy Ball,SD,Sarah & Duck_bouncy ball_20131001_1712.ts
Cake Bake,SD,Sarah & Duck_cake bake_20130926_1711.ts
Camera,SD,Sarah & Duck_camera_20131021_1711.ts
Cheer Up Donkey,SD,Sarah & Duck_cheer up donkey_20130925_1713.ts
Coloured Light,SD,Sarah & Duck_coloured light_20131017_1710.ts
Fancy Park,SD,Sarah & Duck_fancy park_20131025_1710.ts
Fireworks Dance,SD,Sarah & Duck_fireworks dance_20131024_1711.ts
Lots of Shallots,SD,Sarah & Duck_lots of shallots_20130923_1712.ts
Pipe Conductor,SD,Sarah & Duck_pipe conductor_20131028_1810.ts
Pond Princess,SD,Sarah & Duck_pond princess_20131031_1810.ts
Ribbon Sisters,SD,Sarah & Duck_ribbon sisters_20131015_1712.ts
Robot Juice,SD,Sarah & Duck_robot juice_20130930_1713.ts
Scared of Stairs,SD,Sarah & Duck_scared of stairs_20130920_1712.ts
Scarf Lady's House,SD,Sarah & Duck_scarf lady house_20130927_1710.ts
Slow Quest,SD,Sarah & Duck_slow quest_20131029_1811.ts
Stargazing,SD,Sarah & Duck_stargazing_20131016_1711.ts
Strawberry Souffle,SD,Sarah & Duck_strawberry souffle_20131018_1710.ts
Tapping Shoes,SD,Sarah & Duck_tapping shoes_20131022_1711.ts
World Bread Day,SD,Sarah & Duck_world bread day_20131030_1811.ts
